rowNumber,sku,status,imageUrl,sourceImageUrl,reason,productUrl
"10217","4017-108","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/hht-top-bracket-4017-108-p/4017-108.htm"
"10218","1-10-677057-22","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/harman-xxv-xxv-tc-top-light-grey-1-10-677057-22-p/1-10-677057-22.htm"
"10219","2410-151","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/majestic-echel60in-rock-tray-stainless-steel-2410-151-p/2410-151.htm"
"10220","70D0028K","updated","/products/parts/70d0028k.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/35912/54275/70D0029K__37292.1634925366.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/majestic-regulator-to-pilot-service-tube-70d0028k-p/70d0028k.htm"
"10221","54D0612TK","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/monessen-majestic-textured-face-assembly-54d0612tk-p/54d0612tk.htm"
"10222","FBVFC32CLR","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/vermont-castings-firebrick-panel-kit-colonial-red-fbvfc32clr-p/fbvfc32clr.htm"
"10223","ODGSDPFLT-36","updated","/products/parts/odgsdpflt-36.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/42725/64860/Capture__47063.1726505334.JPG?c=2","score=10","https://www.stove-parts-unlimited.com/outdoor-lifestyles-36-courtyard-vesper-series-outdoor-drain-pan-odgsdpflt-36-p/odgsdpflt-36.htm"
"10224","RC200-HTL","updated","/products/parts/rc200-htl.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/42637/64793/Capture__93815.1726073437.JPG?c=2","score=10","https://www.stove-parts-unlimited.com/hht-ipi-remote-control-rc200-htl-p/rc200-htl.htm"
"10225","2493-104","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/heat-n-glo-cosmo-series-non-combustible-ledge-2493-104-p/2493-104.htm"
"10226","SRV2168-710","updated","/products/parts/srv2168-710.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/14995/33202/SRV28394-1__83195.1560968332.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/hht-back-refractory-srv2168-710-p/srv2168-710.htm"
"10227","1-00-999129-14","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/harman-absolute63-ashlip-majolica-brown-1-00-999129-14-p/1-00-999129-14.htm"
